producto,marca,grupo,precio,precio_lista,super,url
Promo Pan Casero Urupan Rebanado 9 Semillas 2 U,pagnifique,competencia,199,199,tata,https://www.tata.com.uy/promo-pan-casero-urupan-rebanado-9-semillas-2-u-1000062778-10440/p
Promo Pan Porteño De Trinchado 12 U,pagnifique,competencia,199,199,tata,https://www.tata.com.uy/porteño-de-trinchado-12-u-1000063523-10524/p
Promo Panbatta Pagnifique 4 U,pagnifique,competencia,219,219,tata,https://www.tata.com.uy/promo-panbatta-pagnifique-4-u-1000063593-173061/p
Promo Scones Pagnifique 6 U,pagnifique,competencia,175,175,tata,https://www.tata.com.uy/promo-scones-6u-1000202252-15408/p
Promoción Donuts 6 U,pagnifique,competencia,259,259,tata,https://www.tata.com.uy/promocion-donuts-6-u-14876/p
Promoción Palmitas Pagnifique Bañadas Con Chocolate 10 U,pagnifique,competencia,175,175,tata,https://www.tata.com.uy/promocion-palmitas-pagnifique-banadas-con-chocolate-10-u-1000063468-63666/p
Rosca Con Chicharron Pagnifique,pagnifique,competencia,145,145,tata,https://www.tata.com.uy/rosca-con-chicharron-1000167423-14890/p
Rosca Con Membrillo,pagnifique,competencia,145,145,tata,https://www.tata.com.uy/rosca-con-membrillo-14889/p
Scones de Queso x kg PAGNIFIQUE,pagnifique,competencia,999,,devoto,https://www.devoto.com.uy/product/scones-de-queso-x-kg-pagnifique/295676
Scones de Queso x kg PAGNIFIQUE,pagnifique,competencia,999,,disco,https://www.disco.com.uy/product/scones-de-queso-x-kg-pagnifique/295676
Scones,pagnifique,competencia,39,39,tata,https://www.tata.com.uy/scones-14882/p
Strudel Pagnifique 9 U,pagnifique,competencia,99,99,tata,https://www.tata.com.uy/strudel-pagnifique-9-u-14763/p
Tostadas,pagnifique,competencia,69,69,tata,https://www.tata.com.uy/tostadas-8218/p
Urupan Felipe,pagnifique,competencia,65,65,tata,https://www.tata.com.uy/urupan-felipe-63669/p
Pan felipe 150g x un. aprox.,pan felipe,competencia,72,479,devoto,https://www.devoto.com.uy/product/pan-felipe-150g-x-un-aprox/299005
Pan felipe 150g x un. aprox.,pan felipe,competencia,72,479,disco,https://www.disco.com.uy/product/pan-felipe-150g-x-un-aprox/299005
Pan Felipe Congelado Sin Gluten 2 U,pan felipe,competencia,178,178,tata,https://www.tata.com.uy/pan-felipe-congelado-sin-gluten-2-u-126506/p
Pan Felipe Integral con Semillas x 1 Unidad,pan felipe,competencia,74,,tiendainglesa,"https://www.tiendainglesa.com.uy/supermercado/pan-felipe-integral-con-semillas-x-1-unidad.producto?969,,42"
Pan Felipe Integral sin Sal x 1,pan felipe,competencia,63,,tiendainglesa,"https://www.tiendainglesa.com.uy/supermercado/pan-felipe-integral-sin-sal-x-1.producto?23311,,42"
Pan Felipe sin Gluten SANOSINHARINA 2 Unidades,pan felipe,competencia,149,186,tiendainglesa,"https://www.tiendainglesa.com.uy/supermercado/pan-felipe-sin-gluten-sanosinharina-2-unidades.producto?261896,,42"
Pan Felipe sin Sal x 1 Unidad,pan felipe,competencia,52,,tiendainglesa,"https://www.tiendainglesa.com.uy/supermercado/pan-felipe-sin-sal-x-1-unidad.producto?691,,42"
Pan Felipe TIENDA INGLESA (3 un.),pan felipe,competencia,162,,tiendainglesa,"https://www.tiendainglesa.com.uy/supermercado/pan-felipe-tienda-inglesa-3-un..producto?1293,,42"
Pan Felipe TIENDA INGLESA x 1 Unidad,pan felipe,competencia,52,,tiendainglesa,"https://www.tiendainglesa.com.uy/supermercado/pan-felipe-tienda-inglesa-x-1-unidad.producto?852,,42"
